Code,bbc_full_name,bbc_shorter_name,Region,Marginal,Con1,Lab2,Lib_Dem3,Ukip4,Green5,Other6,SNP7,Plaid8,Winner_code,Pollster,Date,Notes,2010 result,Hold or not,Con10,Lab10,LD10,SNP10,PC10,Grn10,UKIP10,OTH10,Maj10
E14000731,Harrow East,Harrow E,London,Yes,39,43,6,9,2,1,,,Labour,Ashcroft poll,04-Apr-15,,Conservative,Poll suggests Lab may gain from Con,44.7,37.6,14.3,,,1.7,1.9,,7.1
E14000735,Hastings & Rye,Hastings & Rye,South East,Yes,31,40,5,19,3,1,,,Labour,Ashcroft poll,01-Oct-14,,Conservative,Poll suggests Lab may gain from Con,41.1,37.1,15.7,,,,2.8,3.3,4
E14000738,Hazel Grove,Hazel Grove,North West,No,29,15,35,17,4,0,,,Lib Dem,Ashcroft poll,15-Nov-14,,Lib Dem,Poll suggests LD may hold this seat,33.6,12.5,48.8,,,,5.1,,15.2
E14000741,Hendon,Hendon,London,Yes,34,49,4,9,2,1,,,Labour,Ashcroft poll,29-Jun-14,,Conservative,Poll suggests Lab may gain from Con,42.3,42.1,12.4,,,1.1,2.1,,0.2
E14000747,Heywood & Middleton,Heywood & Middleton,North West,No,12,41,5,39,3,0,,,Labour,By-election,09-Oct-14,,Labour,By-election suggests Lab hold,27.2,40.1,22.7,,,,2.6,7.4,12.9
E14000748,High Peak,High Peak,East Mids,No,37,38,6,12,6,1,,,Labour,Ashcroft poll,12-Feb-15,,Conservative,Poll suggests Lab may gain from Con,40.9,31.6,21.8,,,1.8,3.4,0.4,9.3
E14000752,Hornsey & Wood Green,Hornsey & Wood Green,London,No,14,43,30,3,8,1,,,Labour,Ashcroft poll,13-Sep-14,,Lib Dem,Poll suggests Lab may gain from LD,16.7,34,46.5,,,2.3,,,12.5
E14000755,Hove,Hove,South East,Yes,37,43,5,5,9,1,,,Labour,Ashcroft poll,04-Apr-15,,Conservative,Poll suggests Lab may gain from Con,36.7,33,22.6,,,5.2,2.4,,3.8
S14000039,"Inverness, Nairn, Badenoch & Strathspey","Inverness, Nairn & Badenoch",Scotland,No,10,13,21,4,1,1,50,,SNP,Ashcroft poll,29-Jan-15,,Lib Dem,Poll suggests SNP may gain from LD,13.3,22.1,40.7,18.7,,1.7,1.2,2.3,18.6
E14000761,Ipswich,Ipswich,East,Yes,31,38,6,19,5,1,,,Labour,Ashcroft poll,02-Oct-14,,Conservative,Poll suggests Lab may gain from Con,39.1,34.7,18.2,,,1.7,2.9,3.3,4.4
E14000766,Keighley,Keighley,Yorks & Humber,Yes,31,37,5,23,3,1,,,Labour,Ashcroft poll,26-Oct-14,,Conservative,Poll suggests Lab may gain from Con,41.9,35.8,14.8,,,,3.1,4.4,6.2
E14000770,Kingston & Surbiton,Kingston & Surbiton,London,No,30,16,38,10,6,1,,,Lib Dem,Ashcroft poll,08-Nov-14,,Lib Dem,Poll suggests LD may hold this seat,36.5,9.3,49.8,,,1,2.5,,13.2
E14000774,Kingswood,Kingswood,South West,Yes,42,33,5,15,4,1,,,Conservative,Ashcroft poll,03-Apr-15,,Conservative,Poll suggests Con may hold this seat,40.4,35.3,16.8,,,0.8,3.2,3.4,5.1
S14000041,Kirkcaldy & Cowdenbeath,Kirkcaldy & Cowdenbeath,Scotland,No,7,39,3,3,3,0,45,,SNP,Ashcroft poll,26-Feb-15,Ex-PM Gordon Brown standing down,Labour,Poll suggests SNP may gain from Lab,9.3,64.5,9.3,14.3,,,1.7,0.9,50.2
E14000776,Lancaster & Fleetwood,Lancaster & Fleetwood,North West,Yes,27,41,4,18,10,1,,,Labour,Ashcroft poll,04-Jul-14,,Conservative,Poll suggests Lab may gain from Con,36.1,35.3,19.1,,,4.4,2.4,2.7,0.8
E14000786,Lewes,Lewes,South East,No,29,9,37,15,7,2,,,Lib Dem,Ashcroft poll,20-Nov-14,,Lib Dem,Poll suggests LD may hold this seat,36.7,5,52,,,1.5,3.4,1.4,15.3
E14000792,Lincoln,Lincoln,East Mids,Yes,35,39,6,17,3,1,,,Labour,Ashcroft poll,21-Jul-14,,Conservative,Poll suggests Lab may gain from Con,37.5,35.2,20.2,,,,2.2,4.8,2.3
E14000797,Loughborough,Loughborough,East Mids,Yes,45,36,3,12,3,1,,,Conservative,Ashcroft poll,03-Apr-15,,Conservative,Poll suggests Con may hold this seat,41.6,34.5,18.3,,,,1.8,3.9,7.1
E14000809,Manchester Withington,Manchester Withington,North West,Yes,7,56,22,4,10,1,,,Labour,Ashcroft poll,21-Jun-14,,Lib Dem,Poll suggests Lab may gain from LD,11.1,40.5,44.7,,,1.8,1.6,,4.2
E14000822,Milton Keynes South,Milton Keynes South,South East,No,37,39,8,10,4,2,,,Labour,Ashcroft poll,10-Apr-15,,Conservative,Poll suggests Lab may gain from Con,41.6,32.2,17.7,,,1.4,3.7,3.3,9.4
E14000825,Morecambe & Lunesdale,Morecambe & Lunesdale,North West,Yes,36,42,5,12,5,1,,,Labour,Ashcroft poll,04-Apr-15,,Conservative,Poll suggests Lab may gain from Con,41.5,39.5,13.3,,,1.4,4.2,,2
E14000826,Morley & Outwood,Morley & Outwood,Yorks & Humber,Yes,24,41,5,20,2,8,,,Labour,Ashcroft poll,11-May-14,Shadow chancellor Ed Balls' seat,Labour,Poll suggests Lab may hold this seat,35.3,37.6,16.8,,,,3.1,7.2,2.3
S14000047,Motherwell & Wishaw,Motherwell & Wishaw,Scotland,No,5,39,1,3,1,1,50,,SNP,Ashcroft poll,22-Jan-15,,Labour,Poll suggests SNP may gain from Lab,9.4,61.1,9.8,18.2,,,,1.6,43
E14000829,Newark,Newark,East Mids,No,45,18,3,26,3,6,,,Conservative,By-election,05-Jun-14,,Conservative,By-election suggests Con hold,53.9,22.3,20,,,1.5,3.8,,31.5
E14000835,Newton Abbot,Newton Abbot,South West,Yes,39,13,20,20,7,1,,,Conservative,Ashcroft poll,12-Jun-14,,Conservative,Poll suggests Con may hold this seat,43,7,41.9,,,1.5,6.4,,1.1
E14000861,Northampton North,Northampton N,East Mids,Yes,31,35,9,22,2,1,,,Labour,Ashcroft poll,14-Oct-14,,Conservative,Poll suggests Lab may gain from Con,34.1,29.3,27.9,,,1.1,3.1,4.4,4.8
E14000863,Norwich North,Norwich North,East,No,34,35,5,16,10,0,,,Labour,Ashcroft poll,12-Feb-15,,Conservative,Poll suggests Lab may gain from Con,40.6,31.4,18.3,,,2.9,4.4,2.4,9.2
E14000864,Norwich South,Norwich South,East,Yes,18,33,12,15,20,1,,,Labour,Ashcroft poll,21-Jun-14,,Lib Dem,Poll suggests Lab may gain from LD,22.9,28.7,29.4,,,14.9,2.4,1.7,0.7
E14000868,Nuneaton,Nuneaton,West Mids,Yes,34,39,4,14,8,1,,,Labour,Ashcroft poll,05-Mar-15,,Conservative,Poll suggests Lab may gain from Con,41.5,36.9,15.3,,,,,6.3,4.6
E14000874,Oxford West & Abingdon,Oxford W & Abingdon,South East,Yes,38,18,30,9,4,0,,,Conservative,Ashcroft poll,28-Aug-14,,Conservative,Poll suggests Con may hold this seat,42.3,10.6,42,,,2.1,2.7,,0.3
S14000053,Paisley & Renfrewshire South,Paisley & Renfrewshire S,Scotland,No,6,40,2,1,2,0,48,,SNP,Ashcroft poll,29-Jan-15,,Labour,Poll suggests SNP may gain from Lab,9.9,59.6,9.5,18.1,,,,2.8,41.5
E14000875,Pendle,Pendle,North West,Yes,41,37,8,10,4,1,,,Conservative,Ashcroft poll,04-Apr-15,,Conservative,Poll suggests Con may hold this seat,38.9,30.9,20.2,,,,3.3,6.7,8
E14000879,Plymouth Moor View,Plymouth Moor View,South West,Yes,26,35,5,30,2,1,,,Labour,Ashcroft poll,28-Nov-14,,Labour,Poll suggests Lab may hold this seat,33.3,37.2,16.9,,,1,7.7,4,3.8
E14000880,Plymouth Sutton & Devonport,Plymouth Sutton & Devonport,South West,Yes,26,39,6,21,8,1,,,Labour,Ashcroft poll,23-Jul-14,,Conservative,Poll suggests Lab may gain from Con,34.3,31.7,24.7,,,2.1,6.5,,2.6
E14000884,Portsmouth South,Portsmouth S,South East,No,30,20,25,17,6,1,,,Conservative,Ashcroft poll,06-Nov-14,,Lib Dem,Poll suggests Con may gain from LD,33.3,13.7,45.9,,,1.7,2.1,3.4,12.6
E14000886,Pudsey,Pudsey,Yorks & Humber,Yes,40,40,5,8,6,1,,,Tie,Ashcroft poll,04-Apr-15,,Conservative,Poll too close to call between Con & Lab,38.5,35.1,20.8,,,,2.5,3.2,3.4
E14000891,Redcar,Redcar,North East,No,12,44,18,23,2,1,,,Labour,Ashcroft poll,06-Sep-14,,Lib Dem,Poll suggests Lab may gain from LD,13.8,32.7,45.2,,,,4.5,3.8,12.4
S14000021,Renfrewshire East,Renfrewshire East,Scotland,No,26,34,2,1,3,0,33,,Labour,Ashcroft poll,26-Feb-15,Scottish Labour leader Jim Murphy's seat,Labour,Poll suggests Lab may hold this seat,30.4,50.8,9.2,8.9,,,0.7,,20.4
E14000898,Rochester & Strood,Rochester & Strood,South East,No,35,17,1,42,4,1,,,Ukip,By-election,20-Nov-14,,Conservative,By-election suggests UKIP gain from Con,49.2,28.5,16.3,,,1.5,,4.5,20.8
S14000055,"Ross, Skye & Lochaber","Ross, Skye & Lochaber",Scotland,No,8,9,35,3,5,1,40,,SNP,Ashcroft poll,26-Feb-15,Ex-Lib Dem leader Charles Kennedy's seat,Lib Dem,Poll suggests SNP may gain from LD,12.2,15.1,52.6,15.1,,2.2,1.9,0.8,37.5
E14000902,Rossendale & Darwen,Rossendale & Darwen,North West,No,42,42,4,8,2,1,,,Tie,Ashcroft poll,11-Apr-15,,Conservative,Poll too close to call between Con & Lab,41.8,32.2,18.1,,,,3.4,4.4,9.5
E14000903,Rother Valley,Rother Valley,Yorks & Humber,No,18,40,4,34,3,2,,,Labour,Ashcroft poll,29-Nov-14,,Labour,Poll suggests Lab may hold this seat,28.4,40.9,17.3,,,,5.6,7.7,12.6
E14000904,Rotherham,Rotherham,Yorks & Humber,No,6,48,4,37,1,5,,,Labour,Survation poll,25-Sep-14,,Labour,Poll suggests Lab may hold this seat,16.7,44.6,16,,,,5.9,16.7,27.9
E14000922,Sheffield Hallam,Sheffield Hallam,Yorks & Humber,No,16,36,34,7,6,1,,,Labour,Ashcroft poll,28-Mar-15,Lib Dem leader Nick Clegg's constituency,Lib Dem,Poll suggests Lab may gain from LD,23.5,16.1,53.4,,,1.8,2.3,2.7,29.9
E14000924,Sherwood,Sherwood,East Mids,Yes,30,39,4,23,4,2,,,Labour,Ashcroft poll,05-Jul-14,,Conservative,Poll suggests Lab may gain from Con,39.2,38.8,14.9,,,,3,4,0.4
E14000931,Solihull,Solihull,West Mids,Yes,37,12,28,16,6,1,,,Conservative,Ashcroft poll,10-Aug-14,,Lib Dem,Poll suggests Con may gain from LD,42.6,8.9,42.9,,,,2.2,3.5,0.3
E14000846,Somerset North East,Somerset North East,South West,No,44,28,9,10,8,1,,,Conservative,Ashcroft poll,11-Apr-15,,Conservative,Poll suggests Con may hold this seat,41.3,31.7,22.3,,,1.3,3.4,,9.6
E14000932,Somerton & Frome,Somerton & Frome,South West,Yes,41,9,27,17,5,1,,,Conservative,Ashcroft poll,14-Aug-14,,Lib Dem,Poll suggests Con may gain from LD,44.5,4.4,47.5,,,,3.2,,3
E14000955,Southampton Itchen,Southampton Itchen,South East,Yes,31,39,7,17,5,0,,,Labour,Ashcroft poll,07-Mar-15,,Labour,Poll suggests Lab may hold this seat,36.3,36.8,20.8,,,1.4,4.3,,0.4
E14000958,Southport,Southport,North West,No,24,14,37,21,2,1,,,Lib Dem,Ashcroft poll,13-Nov-14,,Lib Dem,Poll suggests LD may hold this seat,35.8,9.4,49.6,,,,5.1,,13.8
E14000961,St Austell & Newquay,St Austell & Newquay,South West,Yes,32,10,26,20,6,4,,,Conservative,Ashcroft poll,19-Mar-15,,Lib Dem,Poll suggests Con may gain from LD,40,7.2,42.7,,,,3.7,6.4,2.8
E14000964,St Ives,St Ives,South West,Yes,33,10,36,11,7,3,,,Lib Dem,Ashcroft poll,21-Mar-15,,Lib Dem,Poll suggests LD may hold this seat,39,8.2,42.7,,,2.8,5.6,1.7,3.7
E14000968,Stevenage,Stevenage,South East,Yes,33,38,7,18,3,0,,,Labour,Ashcroft poll,13-Dec-14,,Conservative,Poll suggests Lab may gain from Con,41.4,33.4,16.6,,,,4.5,4.1,8
E14000971,Stockton South,Stockton S,North East,Yes,39,44,3,9,1,3,,,Labour,Ashcroft poll,04-Apr-15,,Conservative,Poll suggests Lab may gain from Con,38.9,38.3,15.1,,,,2.9,4.8,0.7
E14000980,Stroud,Stroud,South West,Yes,30,41,6,11,11,0,,,Labour,Ashcroft poll,16-Jul-14,,Conservative,Poll suggests Lab may gain from Con,40.8,38.6,15.4,,,2.7,2.2,,2.2
E14000953,Surrey South West,Surrey SW,South East,No,57,11,8,15,7,1,,,Conservative,Survation poll,05-Dec-14,Health Secretary Jeremy Hunt's seat,Conservative,Poll suggests Con may hold this seat,58.7,6,30.2,,,1.2,2.6,1.4,28.5
E14000984,Sutton & Cheam,Sutton & Cheam,London,Yes,27,11,45,14,3,0,,,Lib Dem,Ashcroft poll,16-Aug-14,,Lib Dem,Poll suggests LD may hold this seat,42.4,7,45.7,,,0.5,2,2.1,3.3
E14000947,Swindon South,Swindon S,South West,Yes,37,37,5,16,4,1,,,Tie,Ashcroft poll,12-Mar-15,,Conservative,Poll too close to call between Con & Lab,41.8,34.3,17.6,,,1.3,4.3,,7.5
E14000988,Taunton Deane,Taunton Deane,South West,Yes,34,14,30,15,6,1,,,Conservative,Ashcroft poll,05-Sep-14,,Lib Dem,Poll suggests Con may gain from LD,42.2,5.1,49.1,,,,3.6,,6.9
E14000989,Telford,Telford,West Mids,Yes,26,43,4,24,2,1,,,Labour,Ashcroft poll,11-May-14,,Labour,Poll suggests Lab may hold this seat,36.3,38.7,15.5,,,,5.9,3.7,2.4
E14000852,Thanet North,Thanet N,South East,No,33,24,6,32,5,0,,,Conservative,Survation poll,26-Sep-14,,Conservative,Poll suggests Con may hold this seat,52.7,21.5,19.4,,,,6.5,,31.2
E14000948,Thanet South,Thanet S,South East,No,31,29,5,30,3,1,,,Conservative,ComRes poll,18-Mar-15,UKIP leader Nigel Farage standing here,Conservative,Poll suggests Con may hold this seat,48,31.4,15.1,,,,5.5,,16.6
E14000994,Thornbury & Yate,Thornbury & Yate,South West,No,24,9,47,17,3,1,,,Lib Dem,Ashcroft poll,14-Nov-14,,Lib Dem,Poll suggests LD may hold this seat,37.2,7,51.9,,,,3.5,,14.8
E14000995,Thurrock,Thurrock,East,Yes,28,30,2,36,2,2,,,Ukip,Ashcroft poll,26-Jun-14,Con won by just 92 votes (0.2%) in 2010,Conservative,Poll suggests UKIP may gain from Con,36.8,36.6,10.7,,,,7.4,8.5,0.2
E14000999,Torbay,Torbay,South West,Yes,33,11,34,17,3,1,,,Lib Dem,Ashcroft poll,21-Mar-15,,Lib Dem,Poll suggests LD may hold this seat,38.7,6.6,47,,,1,5.3,1.4,8.3
E14001003,Truro & Falmouth,Truro & Falmouth,South West,Yes,33,18,16,22,9,2,,,Conservative,Ashcroft poll,13-Sep-14,,Conservative,Poll suggests Con may hold this seat,41.7,9.6,40.8,,,1.8,3.9,2.1,0.9
E14001005,Twickenham,Twickenham,London,No,34,23,32,5,4,2,,,Conservative,ICM poll,16-Apr-14,Lib Dem Business Secretary Vince Cable's seat,Lib Dem,Poll suggests Con may gain from LD,34.1,7.7,54.4,,,1.1,1.5,1.3,20.3
E14001007,Uxbridge & Ruislip South,Uxbridge & Ruislip S,London,No,52,23,6,16,2,1,,,Conservative,Ashcroft poll,14-Aug-14,London Mayor Boris Johnson standing here,Conservative,Poll suggests Con may hold this seat,48.3,23.4,20,,,1.1,2.7,4.6,24.9
W07000078,Vale of Glamorgan,Vale of Glamorgan,Wales,No,38,32,4,10,3,1,,12,Conservative,Ashcroft poll,12-Feb-15,,Conservative,Poll suggests Con may hold this seat,41.8,32.9,15.2,,5.5,0.9,3.1,0.5,8.8
E14001011,Walsall North,Walsall N,West Mids,Yes,21,37,8,30,1,3,,,Labour,Ashcroft poll,11-May-14,,Labour,Poll suggests Lab may hold this seat,34.3,37,13.1,,,,4.8,10.8,2.7
E14001018,Warrington South,Warrington S,North West,Yes,29,37,15,15,3,0,,,Labour,Ashcroft poll,31-Jul-14,,Conservative,Poll suggests Lab may gain from Con,35.8,33,27.5,,,0.8,3,,2.8
E14001019,Warwick & Leamington,Warwick & Leamington,West Mids,Yes,38,34,7,14,7,0,,,Conservative,Ashcroft poll,06-Dec-14,,Conservative,Poll suggests Con may hold this seat,42.6,35.4,18.3,,,1.4,1.9,,7.2
E14000854,Warwickshire North,Warwickshire N,West Mids,Yes,30,41,2,22,2,2,,,Labour,Ashcroft poll,28-Jun-14,Con won by just 54 votes (0.1%) in 2010,Conservative,Poll suggests Lab may gain from Con,40.2,40.1,11.6,,,,2.8,5.4,0.1
E14001021,Watford,Watford,East,Yes,30,24,28,14,3,0,,,Conservative,Ashcroft poll,20-Nov-14,,Conservative,Poll suggests Con may hold this seat,34.9,26.7,32.4,,,1.6,2.2,2.2,2.6
E14001022,Waveney,Waveney,East,Yes,28,37,3,22,9,1,,,Labour,Ashcroft poll,12-Jul-14,,Conservative,Poll suggests Lab may gain from Con,40.2,38.7,13.3,,,2.3,5.2,,1.5
E14001024,Weaver Vale,Weaver Vale,North West,Yes,32,41,6,18,2,1,,,Labour,Ashcroft poll,22-Jul-14,,Conservative,Poll suggests Lab may gain from Con,38.5,36.3,18.6,,,0.8,2.3,3.4,2.3
E14001026,Wells,Wells,South West,Yes,35,13,28,16,7,0,,,Conservative,Ashcroft poll,17-Aug-14,,Lib Dem,Poll suggests Con may gain from LD,42.5,7.5,44,,,1.1,3.1,1.8,1.4
E14001043,Wirral South,Wirral S,North West,Yes,27,43,12,15,2,2,,,Labour,Ashcroft poll,04-May-14,,Labour,Poll suggests Lab may hold this seat,39.5,40.8,16.6,,,,3.2,,1.3
E14001044,Wirral West,Wirral W,North West,Yes,37,42,5,10,5,1,,,Labour,Ashcroft poll,12-Mar-15,,Conservative,Poll suggests Lab may gain from Con,42.5,36.3,16.8,,,,2.3,2.1,6.2
E14001046,Witney,Witney,South East,No,53,16,4,19,7,1,,,Conservative,Survation poll,05-Dec-14,Prime Minister David Cameron's seat,Conservative,Poll suggests Con may hold this seat,58.8,13,19.4,,,4.1,3.5,1.2,39.4
E14001051,Wolverhampton South West,Wolverhampton SW,West Mids,Yes,30,46,5,15,2,1,,,Labour,Ashcroft poll,11-Jul-14,,Conservative,Poll suggests Lab may gain from Con,40.7,39,16,,,,3.7,,1.7
E14001052,Worcester,Worcester,West Mids,Yes,40,34,4,13,7,2,,,Conservative,Ashcroft poll,12-Mar-15,,Conservative,Poll suggests Con may hold this seat,39.5,33.4,19.5,,,1.5,2.8,3.4,6.1
E14001058,Wyre Forest,Wyre Forest,West Mids,Yes,32,16,7,27,5,13,,,Conservative,Ashcroft poll,20-Nov-14,Independent MP Richard Taylor lost this seat in 2010,Conservative,Poll suggests Con may hold this seat,36.9,14.3,11.9,,,,2.9,33.9,5.2
E14000943,South Ribble,South Ribble,North West,No,39,39,8,12,2,1,,,Tie,Ashcroft poll,11-Apr-15,,Conservative,Poll too close to call between Con & Lab,45.5,34.7,14.1,,,,3.7,2,10.8
